num,lon,lat,alt,x,y,z,qx,qy,qz,qw
2674,113.3918852,23.0371106,0,42.399105072021484,-27.395097732543945,115.11424255371094,-0.2067977018292131,0.665964066341868,-0.06499357970341683,0.7137943733715582
2675,113.3918857,23.037115,0,42.77988815307617,-27.293981552124023,115.1386489868164,-0.20730776644503013,0.6655271944033374,-0.0640345490275332,0.714140476385449
2676,113.3918857,23.0371204,0,43.273902893066406,-27.163888931274414,115.17568969726562,-0.20787949856454943,0.6656401115322648,-0.06328326453816821,0.7139359806209923
2677,113.3918874,23.037124,0,43.81740188598633,-27.03141212463379,115.1999740600586,-0.20855406426001374,0.6642670229423361,-0.062497564722947235,0.7150864136002425
2678,113.3918885,23.037128,0,44.30757141113281,-26.907756805419922,115.23480224609375,-0.20912320838554896,0.6628447574693587,-0.061828048307751404,0.7162971475947504
2679,113.3918903,23.0371314,0,44.83742904663086,-26.781883239746094,115.26020050048828,-0.2095001647291081,0.6627407222074122,-0.06158716303145041,0.7163040118945389
2680,113.3918914,23.0371352,0,45.3428840637207,-26.65839195251465,115.29132080078125,-0.21004459804508807,0.6624054633975378,-0.06135090103418213,0.7164749373393773
2681,113.3918931,23.0371387,0,45.78369140625,-26.532434463500977,115.3617172241211,-0.210499260176791,0.6624464400850552,-0.0610787205597096,0.7163268565246247
2682,113.3918941,23.0371425,0,46.28993606567383,-26.420867919921875,115.3687744140625,-0.21097245894900588,0.6617150697745167,-0.060531427290335144,0.7169098508937589
2683,113.3918941,23.0371477,0,46.755165100097656,-26.303224563598633,115.41168212890625,-0.21127381372549037,0.6616481184307282,-0.060323978819841875,0.7169003840076437
2684,113.391894,23.0371526,0,47.211448669433594,-26.168317794799805,115.50328063964844,-0.21158174086407544,0.6597085930710569,-0.05990634958452416,0.7186299245373733
2685,113.3918952,23.0371569,0,47.71088409423828,-26.056745529174805,115.51397705078125,-0.2115108465435102,0.6615085247072611,-0.06049281151485658,0.7169450838726066
2686,113.391896,23.037161,0,48.18819046020508,-25.946544647216797,115.53522491455078,-0.21115704127049775,0.6638131043110199,-0.06111033081378371,0.7148638988889326
2687,113.3918967,23.0371655,0,48.6793327331543,-25.827882766723633,115.56739807128906,-0.21091530301054512,0.6650758119704154,-0.061444843148601935,0.7137320439340707
2688,113.3918969,23.0371708,0,49.29169845581055,-25.70500373840332,115.54866790771484,-0.21113854897561232,0.6640376506547364,-0.061111685077588296,0.7146606702459488
2689,113.3918983,23.0371748,0,49.80073547363281,-25.58989906311035,115.56588745117188,-0.21134734438178554,0.6628786764292571,-0.06084693489116749,0.7156967310757494
2690,113.3918983,23.0371797,0,50.406532287597656,-25.451692581176758,115.58818054199219,-0.2115391357422824,0.6612144074629024,-0.06022111137504327,0.7172308687986355
2691,113.3918983,23.0371843,0,50.933570861816406,-25.332042694091797,115.6046142578125,-0.2116929687669452,0.6611561960012865,-0.060064861713411744,0.7172522456229011
2692,113.3918982,23.0371894,0,51.56608963012695,-25.197864532470703,115.60503387451172,-0.2116151245900472,0.6624725739426978,-0.060487207930186276,0.7160240397467713
2693,113.3918987,23.0371938,0,52.04298782348633,-25.10397720336914,115.58745574951172,-0.2117762116553503,0.661869298955302,-0.060577420180485564,0.7165265127276187
2694,113.3918985,23.0371991,0,52.6413688659668,-24.967195510864258,115.61337280273438,-0.21190938704621848,0.6605706226766342,-0.06034439867128316,0.7177042689627122
2695,113.3918977,23.0372034,0,53.0215950012207,-24.883852005004883,115.62141418457031,-0.2120348006109158,0.6611630929084719,-0.06086378474260695,0.7170775464427805
2696,113.3918974,23.0372089,0,53.562278747558594,-24.758893966674805,115.68106079101562,-0.21294032391225504,0.660349624689582,-0.0605330045348417,0.7175866128813002
2697,113.3918962,23.0372132,0,53.99538803100586,-24.62417221069336,115.70951843261719,-0.21594058613210346,0.6601122713298239,-0.06035279900103352,0.7169232819161652
2698,113.3918961,23.0372188,0,54.60960388183594,-24.421363830566406,115.74150848388672,-0.22329128902954287,0.6574605464517544,-0.05974807905829846,0.7171588367661162
2699,113.3918962,23.0372234,0,55.01339340209961,-24.297300338745117,115.7502670288086,-0.2270545099768278,0.6565165145087399,-0.059271240304674816,0.7168816051128828
2700,113.3918962,23.0372289,0,55.6151123046875,-24.1246280670166,115.78512573242188,-0.23212349774093255,0.6578856711270263,-0.05979315503874631,0.713953712878342
2701,113.3918963,23.037234,0,56.120323181152344,-23.94106674194336,115.78075408935547,-0.24054722326360106,0.6565829317693086,-0.057900606767267035,0.7125190571664545
2702,113.3918962,23.0372387,0,56.62733459472656,-23.802291870117188,115.7719955444336,-0.24525377229969392,0.6572248053363356,-0.05616347307114823,0.7104588705308504
2703,113.3918964,23.0372441,0,57.1125373840332,-23.667200088500977,115.792236328125,-0.24796016817699293,0.658678341834339,-0.05432942278582953,0.7083127210602403
2704,113.3918963,23.037249,0,57.59491729736328,-23.550960540771484,115.7641372680664,-0.2502980446562719,0.6571339519667323,-0.05205699581563862,0.7090951467895421
2705,113.3918963,23.0372537,0,57.99044418334961,-23.435110092163086,115.77293395996094,-0.25174320627068597,0.6572974050066649,-0.05101450893064785,0.7085075859485375
2706,113.3918962,23.0372586,0,58.50072479248047,-23.273977279663086,115.80097198486328,-0.2532508028994206,0.65768341316567,-0.049900990441803184,0.7076909283228663
2707,113.3918953,23.0372633,0,58.93565368652344,-23.119821548461914,115.85476684570312,-0.25385075007442354,0.6580109128935621,-0.04950045414913999,0.7071995052590621
2708,113.3918951,23.0372684,0,59.43547058105469,-23.000181198120117,115.79898071289062,-0.25427324654073613,0.6572726374517637,-0.04914912589746706,0.707758546097715
2709,113.3918953,23.0372737,0,59.972721099853516,-22.814130783081055,115.8495864868164,-0.2544609800200985,0.654113542716327,-0.048224899830701176,0.7106753421349481
2710,113.3918952,23.0372786,0,60.45439910888672,-22.65664291381836,115.87638092041016,-0.25400061808610586,0.6544308309976523,-0.04870764973894333,0.7105149810584623
2711,113.3918951,23.0372835,0,60.94232177734375,-22.49976921081543,115.89616394042969,-0.25388758934801653,0.6506205636124671,-0.04779399405512033,0.7141076307615735
2712,113.3918948,23.0372883,0,61.474971771240234,-22.330127716064453,115.91529846191406,-0.2537703479687893,0.6490486045268989,-0.04755511162249414,0.7155941802530654
2713,113.3918945,23.0372929,0,62.00386428833008,-22.164794921875,115.92829895019531,-0.2535090971091877,0.6506588758721562,-0.048436517003651744,0.7141638948814353
2714,113.391894,23.0372973,0,62.500553131103516,-22.029125213623047,115.90201568603516,-0.25317532589770514,0.6522640793419607,-0.049082247471053914,0.7127725851489839
2715,113.3918939,23.037302,0,63.090087890625,-21.857006072998047,115.89484405517578,-0.2532224070030342,0.6512900289227147,-0.04911417752191834,0.7136438245958446
2716,113.3918936,23.0373066,0,63.64231872558594,-21.691852569580078,115.9052734375,-0.25223135368669747,0.6475341887285886,-0.048967119758101654,0.717412740218335
2717,113.3918937,23.0373117,0,64.4356689453125,-21.41261863708496,115.97029113769531,-0.251505690369922,0.6463634118889579,-0.04872068410700146,0.7187388415989219
2718,113.3918932,23.0373161,0,65.05398559570312,-21.217649459838867,115.98281860351562,-0.25191296828948667,0.64580018684368,-0.0483696827321945,0.7191261008144781
2719,113.3918927,23.0373209,0,65.6512451171875,-21.021886825561523,116.01580810546875,-0.2527422745506938,0.64640361082085,-0.048285426182859484,0.7182981499287385
2720,113.3918922,23.037326,0,66.4462661743164,-20.771120071411133,116.04381561279297,-0.2531529683538001,0.6471314609526961,-0.04799505559661099,0.7175171924749729
2721,113.3918924,23.0373308,0,66.75894927978516,-20.666866302490234,116.065185546875,-0.25311358912145115,0.6471160302878178,-0.047885965893830304,0.7175522898137864
2722,113.391892,23.0373355,0,67.38275146484375,-20.47591209411621,116.0791244506836,-0.2530388656506064,0.6480092468270658,-0.048389892163722775,0.7167382833595932
2723,113.3918916,23.0373402,0,67.97345733642578,-20.292198181152344,116.09221649169922,-0.252948296451416,0.6483423222565654,-0.048681397685014755,0.7164492403602113
2724,113.3918912,23.0373449,0,68.59392547607422,-20.11342430114746,116.0836181640625,-0.2530617922834486,0.6467647501958383,-0.04806340284517448,0.7178753349275528
2725,113.3918908,23.0373496,0,69.2112808227539,-19.90753173828125,116.1360092163086,-0.2534760375868039,0.6427864958363426,-0.0463935017068027,0.7214035362673998
2726,113.3918905,23.0373541,0,69.80318450927734,-19.701982498168945,116.20079040527344,-0.25369510606312917,0.6425487914766487,-0.04596642493883954,0.7215656113686807
2727,113.39189,23.0373593,0,70.54159545898438,-19.46599006652832,116.24152374267578,-0.25372041775405046,0.643563282831324,-0.04591098112237435,0.720655557404826
2728,113.3918896,23.0373644,0,71.25202178955078,-19.23257064819336,116.28843688964844,-0.253701240460338,0.6409490047417641,-0.04496019526898003,0.7230481552087682
2729,113.3918892,23.0373689,0,71.87841796875,-19.041189193725586,116.32931518554688,-0.25405527466355093,0.6375393108524312,-0.044767101610891966,0.725944523463601
2730,113.3918888,23.037374,0,72.54216766357422,-18.812252044677734,116.4157943725586,-0.25389922545445676,0.6357819573936713,-0.04529417779061748,0.7275059610921212
2731,113.3918883,23.0373792,0,73.21992492675781,-18.57102394104004,116.5159912109375,-0.25401317313028016,0.6310684970078667,-0.04483272188673,0.7315872381396121
2732,113.391888,23.0373843,0,73.92436218261719,-18.31298828125,116.6367416381836,-0.25436642761347616,0.626840196956314,-0.04401701744435785,0.7351405240892592
2733,113.3918876,23.0373894,0,74.69422149658203,-18.05107879638672,116.72355651855469,-0.25469396969463143,0.6241192413941451,-0.04358142677976494,0.7373647764591328
2734,113.3918872,23.0373943,0,75.48202514648438,-17.778961181640625,116.81812286376953,-0.2549595382221713,0.6226200242305351,-0.04342138079592568,0.7385489306650439
2735,113.3918869,23.0373992,0,76.26310729980469,-17.506898880004883,116.91753387451172,-0.2549851097065326,0.6210180904109665,-0.04320549953709686,0.7399002703202738
2736,113.3918865,23.0374041,0,76.96471405029297,-17.242433547973633,117.0459976196289,-0.2548943397356374,0.6210224234593852,-0.04373736321153421,0.7398966604808186
2737,113.3918862,23.0374089,0,77.57102966308594,-17.012147903442383,117.12569427490234,-0.2548619965894892,0.6202204248331372,-0.04309533051812055,0.7406178365403819
2738,113.3918859,23.0374134,0,78.30329895019531,-16.74513053894043,117.20826721191406,-0.25491705716090246,0.6190513077089435,-0.0422354584096437,0.7416258749836062
2739,113.3918856,23.0374179,0,79.12269592285156,-16.445531845092773,117.30902099609375,-0.2555261765490937,0.6146211603094702,-0.04042507723806521,0.7451932739419608
2740,113.3918856,23.0374179,0,79.1845474243164,-16.421972274780273,117.319091796875,-0.2555786234974188,0.6139577937320607,-0.04014788808901147,0.7457369119259266
2741,113.3918856,23.0374226,0,80.4328384399414,-15.95995044708252,117.49598693847656,-0.25732208613782687,0.5886689149078684,-0.030640843735740997,0.7657123423989138
2742,113.3918854,23.0374279,0,80.4996109008789,-15.93622875213623,117.50324249267578,-0.2575010119393524,0.5856613380899134,-0.029575682972048878,0.7679969432840722
2743,113.391885,23.0374364,0,80.55570983886719,-15.91244125366211,117.51805877685547,-0.2576791079357952,0.5827481775059014,-0.0285589075990689,0.7701885663548319
2744,113.3918846,23.0374442,0,80.61315155029297,-15.886896133422852,117.53569030761719,-0.25786106846640316,0.5796266492970938,-0.02746897608291568,0.7725193021193353
2745,113.3918852,23.0374486,0,81.05699157714844,-15.617642402648926,117.81407928466797,-0.2594237721247391,0.5433489553871316,-0.015455859219982021,0.7982683355564446
2746,113.3918847,23.0374531,0,81.14701843261719,-15.548952102661133,117.90398406982422,-0.25982354414199216,0.5319824170635797,-0.011680073711924921,0.8058225671466206
2747,113.3918864,23.0374598,0,81.50325012207031,-15.301868438720703,118.21673583984375,-0.26100676529511224,0.4839133473332846,0.003934072514997514,0.8352771179772163
2748,113.3918869,23.037467,0,81.54029846191406,-15.269946098327637,118.26067352294922,-0.2610743309153124,0.47775640961358296,0.005883338443746097,0.8387814930832801
2749,113.3918875,23.0374739,0,81.5754623413086,-15.238797187805176,118.30428314208984,-0.2611167146758553,0.47182279451251236,0.007775205311077435,0.8421050160625232
2750,113.3918891,23.0374763,0,81.77758026123047,-15.061258316040039,118.552734375,-0.26084651989282537,0.4322099286871136,0.020197551669046035,0.8629865175717744
2751,113.391891,23.0374787,0,81.86248016357422,-14.987428665161133,118.65364837646484,-0.26050086788364907,0.4127518414673263,0.02618958518529904,0.8724043333369103
2752,113.3918927,23.0374805,0,81.96199035644531,-14.911726951599121,118.74889373779297,-0.26009833002724025,0.3944198431909108,0.031651289365116464,0.880783765685894
2753,113.3918948,23.0374821,0,82.10830688476562,-14.760165214538574,118.96875762939453,-0.25916880000862735,0.3613617526783275,0.041435621954927414,0.8947247096378548
2754,113.3918942,23.0374877,0,82.17686462402344,-14.672141075134277,119.10391235351562,-0.25844067241479063,0.3412321195476766,0.047244772384680514,0.9025170308161009
2755,113.3918964,23.0374895,0,82.33794403076172,-14.529568672180176,119.29296875,-0.2568819384012579,0.30377920124378277,0.05787257088467226,0.9156312752162304
2756,113.3918981,23.037488,0,82.43011474609375,-14.410662651062012,119.47625732421875,-0.25549280872124275,0.2756408521813277,0.06581197969667293,0.9243453513859885
2757,113.3919003,23.0374875,0,82.49480438232422,-14.263039588928223,119.72982025146484,-0.2531485662631653,0.23779793856485337,0.07603584420602963,0.9346584906847454
2758,113.3919023,23.0374866,0,82.47652435302734,-14.142524719238281,119.9802474975586,-0.25113966836925156,0.20781016915675027,0.08382433792423706,0.9416566682915746
2759,113.3919044,23.0374861,0,82.53639221191406,-13.995762825012207,120.23591613769531,-0.24802365050019598,0.16811178243835292,0.09392735675115524,0.9494210599368954
2760,113.3919063,23.0374858,0,82.58634185791016,-13.879704475402832,120.43660736083984,-0.24505638094233032,0.13501034963881545,0.10210286722308975,0.9546175046345402
2761,113.3919079,23.0374836,0,82.59783935546875,-13.80581283569336,120.57632446289062,-0.24271881122729227,0.11109446583849458,0.10785358181460095,0.9576602754767636
2762,113.3919098,23.0374836,0,82.61322021484375,-13.701322555541992,120.77338409423828,-0.2395748890894146,0.08078619536136256,0.11503697627393318,0.9606476759179615
2763,113.3919118,23.0374836,0,82.6002197265625,-13.602399826049805,120.97447204589844,-0.2360701241743925,0.04956856799942063,0.12243117044143036,0.9627172284960497
2764,113.3919139,23.0374835,0,82.54036712646484,-13.490540504455566,121.22728729248047,-0.23264562059280722,0.021403753811245464,0.1291912118191668,0.9637051028870142
